Business Name,Description,Possible Address,Phone Numbers,Emails,Websites
AFRICAN OXYGEN LTD (HEAD OFFICE),"TEL:
011-490 0400
EMAIL:
linda.barrows@afrox.linde.com
TRADE HEADING
WELDING EQUIPMENT SERVICES","490 0400
EMAIL",011-490 0400,linda.barrows@afrox.linde.com,
SA WELDING (PTY) LTD (HEAD OFFICE),"ADDRESS:
58 ROAD 5 BRENWOOD PARK
JOHANNESBURG
TEL:
011-395 1311
EMAIL:
hannelie@sawelding.com
TRADE HEADING
WELDING EQUIPMENT SERVICES","58 ROAD 5 BRENWOOD PARK
JOHANNESBURG
TEL; 395 1311
EMAIL",011-395 1311,hannelie@sawelding.com,
SA WELDING (PTY) LTD,"ADDRESS:
183 EDISON BOULEVARD
EDISON BUILDING
VANDERBILJPARK
TEL:
016-931 9051
EMAIL:
hannelie@sawelding.co.za
TRADE HEADING
WELDING EQUIPMENT SERVICES","183 EDISON BOULEVARD
EDISON BUILDING
VANDERBILJPARK
TEL; 931 9051
EMAIL",016-931 9051,hannelie@sawelding.co.za,
RISING SUN FIELD SERVICES & MAINTENANCE CC,"ADDRESS:
24 VAN BERGEN STREET
MBOMBELA
TEL:
013-752 7011
EMAIL:
risingsun@vodamail.co.za
TRADE HEADING
WELDING METHODS & PROCESSES","24 VAN BERGEN STREET
MBOMBELA
TEL; 752 7011
EMAIL",013-752 7011,risingsun@vodamail.co.za,
GANSET REPAIRS,"ADDRESS:
24 SKUSCHKE
MEYERTON
TEL:
016-362 2454
FAX:
016-362 3466
EMAIL:
info@gensetrepairs.co.za
TRADE HEADING
welding equipment services","24 SKUSCHKE
MEYERTON
TEL; 362 2454
FAX; 362 3466
EMAIL","016-362 2454, 016-362 3466",info@gensetrepairs.co.za,
DIESEL ELECTRIC SERVICES (PTY) LTD,"ADDRESS:
27 MEWETT STREET
OPHIRTON
JOHANNESBURG
TEL:
011-298 1600
FAX:
011-493 0282
EMAIL:
dieselelect@icon.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","27 MEWETT STREET
OPHIRTON
JOHANNESBURG
TEL; 298 1600
FAX; 493 0282
EMAIL","011-298 1600, 011-493 0282",dieselelect@icon.co.za,
PHD POWER DISTRIBUTION CC,"ADDRESS:
115 - 10TH ROAD
KEW
SANDTON
JOHANNESBURG
TEL:
011-346 1812
EMAIL:
regina@rhdpowerhouse.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","115 - 10TH ROAD
KEW
SANDTON
JOHANNESBURG
TEL; 346 1812
EMAIL",011-346 1812,regina@rhdpowerhouse.co.za,
COFLER & CO (PTY) LTD,"ADDRESS:
25 2ND AVENUE
JOHANNESBURG
TEL:
011-482 6944
FAX:
011-482 0945
EMAIL:
pino@netactive.co.za
TRADE HEADING
LOCK MANUFACTURES","25 2ND AVENUE
JOHANNESBURG
TEL; 482 6944
FAX; 482 0945
EMAIL","011-482 6944, 011-482 0945",pino@netactive.co.za,
D G B (PTY) LTD,"ADDRESS:
724 16TH ROAD
RANDJES PARK
MIDRAND
TEL:
011-653 1000
FAX:
011-653 1101
TRADE HEADING
WINE & SPIRIT WHOLESALE SERVICES","724 16TH ROAD
RANDJES PARK
MIDRAND
TEL; 653 1000
FAX; 653 1101
TRADE HEADING
WINE ","011-653 1000, 011-653 1101",,
ULTRALLOY (PTY) LTD,"ADDRESS:
24 STAAL STREET
KYA SANDS
RANDBURG
TEL:
011-462 2217
FAX:
011-462 3509
TRADE HEADING
WELDING EQUIPMENT","24 STAAL STREET
KYA SANDS
RANDBURG
TEL; 462 2217
FAX; 462 3509
TRADE HEADING
WELDING EQUIPMENT","011-462 2217, 011-462 3509",,
DEZI WELDING & PROJECTS CC,"ADDRESS:
36 ALFRED STREET
NEWLANDS
JOHANNESBURG
TEL:
011-673 3352
FAX:
011-477 0002
TRADE HEADING
WELDING EQUIPMENT","36 ALFRED STREET
NEWLANDS
JOHANNESBURG
TEL; 673 3352
FAX; 477 0002
TRADE HEADING
WELDING EQUIPMENT","011-673 3352, 011-477 0002",,
MOOLAAN IRON & STEEL,"ADDRESS:
37 MAIN REEF
DUNSWART
GERMISTON
TEL:
011-421 0303
FAX:
011-421 9229
TRADE HEADING
STEEL STOCKHOLDERS","37 MAIN REEF
DUNSWART
GERMISTON
TEL; 421 0303
FAX; 421 9229
TRADE HEADING
STEEL STOCKHOLDERS","011-421 0303, 011-421 9229",,
SEIBOD GAS & WELDING SUPPLIES,"ADDRESS:
36 GEDULD STREET
SASOLBURG
TEL:
016-976 0053
FAX:
016-976 0054
EMAIL:
seibodivan@telkomsa.net
TRADE HEADING
WELDING EQUIPMENT","36 GEDULD STREET
SASOLBURG
TEL; 976 0053
FAX; 976 0054
EMAIL","016-976 0053, 016-976 0054",seibodivan@telkomsa.net,
BRAND WELD (PTY) LTD,"ADDRESS:
37 DIRECTOR STREET
AEROPORT
KEMPTON
PARK
TEL:
011-392 5661
FAX:
011-392 3145
EMAIL:
pam@brandweld.co.za
TRADE HEADING
WELDING EQUIPMENT","37 DIRECTOR STREET
AEROPORT
KEMPTON
PARK
TEL; 392 5661
FAX; 392 3145
EMAIL","011-392 5661, 011-392 3145",pam@brandweld.co.za,
WELDING & ENGINEERING SUPPLIES,"ADDRESS:
45 DEODAR STREET
PRIMROSE EAST
GERMISTON
TEL:
011-828 9907
EMAIL:
CAREW@GLOBEL.CO.ZA
TRADE HEADING
WELDING EQUIPMENT","45 DEODAR STREET
PRIMROSE EAST
GERMISTON
TEL; 828 9907
EMAIL",011-828 9907,CAREW@GLOBEL.CO.ZA,
VERA CRUZ (PTY) LTD,"ADDRESS:
65 JONAS ROAD
GERMISTON
TEL:
01-842 7100
FAX:
011-872 1078
EMAIL:
billie@veracruz.co.za
TRADE HEADING
SHEET METAL WORK SERVICES","65 JONAS ROAD
GERMISTON
TEL; 842 7100
FAX; 872 1078
EMAIL","01-842 7100, 011-872 1078",billie@veracruz.co.za,
THERMITREX (PTY) LTD,"ADDRESS:
39 DAVID STREET
BOKSBURG EAST
JOHANNESBURG
TEL:
011-914 2540
EMAIL:
christine@thermitrex.co.za
TRADE HEADING
WELDING EQUIPMENT","39 DAVID STREET
BOKSBURG EAST
JOHANNESBURG
TEL; 914 2540
EMAIL",011-914 2540,christine@thermitrex.co.za,
GEE SIX SUPER WELD (PTY) LTD,"ADDRESS:
12 SCHALK BURGER STREET
SECUNDA
TEL:
017-631 5571
EMAIL:
sales@geesix.co.za
TRADE HEADING
welding equipment","12 SCHALK BURGER STREET
SECUNDA
TEL; 631 5571
EMAIL",017-631 5571,sales@geesix.co.za,
INSTRUWELD CC,"ADDRESS:
38 RIDGE ROAD
LASER PARK
ROODEPOORT
TEL:
011-794 1927
FAX:
011-794 4569
EMAIL:
instruweld.cc@absamail.co.za
TRADE HEADING
WELDING EQUIPMENT","38 RIDGE ROAD
LASER PARK
ROODEPOORT
TEL; 794 1927
FAX; 794 4569
EMAIL","011-794 1927, 011-794 4569",instruweld.cc@absamail.co.za,
LMECH ENGINEERING,"ADDRESS:
53 STEEL ROAD
SPARTAN
KEMPTON PARK
TEL:
011-392 0702
FAX:
011-392 2501
EMAIL:
cmurray@refraline.com
TRADE HEADING
WELDING EQUIPMENT","53 STEEL ROAD
SPARTAN
KEMPTON PARK
TEL; 392 0702
FAX; 392 2501
EMAIL","011-392 0702, 011-392 2501",cmurray@refraline.com,
VORARC WELDING CC,"ADDRESS:
5 ROVER ROAD
ELANDSFONTEIN
GERMISTON
JOHANNESBURG
TEL:
011-828 0130
FAX:
011-828 0693
EMAIL:
accounts@vorarc.co.za
TRADE HEADING
WELDING EQUIPMENT","5 ROVER ROAD
ELANDSFONTEIN
GERMISTON
JOHANNESBURG
TEL; 828 0130
FAX; 828 0693
EMAIL","011-828 0130, 011-828 0693",accounts@vorarc.co.za,
SONOMATIC (PTY) LTD,"ADDRESS:
UNIT 49 SUNNY ROCK CLOSE
SUNNY ROCK
GERMISTON
TEL:
011-450 2324
FAX:
011-450 2327
EMAIL:
jmc@vsonomatic.co.za
TRADE HEADING
TEST INSTRUMENTS & SERVICES","49 SUNNY ROCK CLOSE
SUNNY ROCK
GERMISTON
TEL; 450 2324
FAX; 450 2327
EMAIL","011-450 2324, 011-450 2327",jmc@vsonomatic.co.za,
RIVET & WELD STUD MANUFACTURING CC,"ADDRESS:
95 MAIN REEF ROAD
BOKSBURG NORTH
JOHANNESBURG
TEL:
011-914 5103
FAX:
011-914 5106
EMAIL:
studweld@icon.co.za
TRADE HEADING
WELDING EQUIPMENT","95 MAIN REEF ROAD
BOKSBURG NORTH
JOHANNESBURG
TEL; 914 5103
FAX; 914 5106
EMAIL","011-914 5103, 011-914 5106",studweld@icon.co.za,
MESSER EUTECTIC SA (PTY) LTD,"ADDRESS:
326 ELECTRON CLOSE
KYA SANDS
RANDBURG
TEL:
011-708 1042
FAX:
011-708 2158
EMAIL:
nicolea@messer-eutetic.co.za
TRADE HEADING
WELDING EQUIPMENT","326 ELECTRON CLOSE
KYA SANDS
RANDBURG
TEL; 708 1042
FAX; 708 2158
EMAIL","011-708 1042, 011-708 2158",nicolea@messer-eutetic.co.za,
POWERMAN,"ADDRESS:
1 LANE AAANWINS
ROODEPORT
TEL:
011-794 3886
EMAIL:
jonathan@powerman.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","1 LANE AAANWINS
ROODEPORT
TEL; 794 3886
EMAIL",011-794 3886,jonathan@powerman.co.za,
FLUI CONNECTO (BENONI),"ADDRESS:
16 LINCOL ROAD
BENONI INDUSTRIAL SITE
BENONI
TEL:
011-422 2805
EMAIL:
RUAN.PIETERSE@FLUICONNECTO.CO.ZA
TRADE HEADING
HYDRAULIC SERVICES","16 LINCOL ROAD
BENONI INDUSTRIAL SITE
BENONI
TEL; 422 2805
EMAIL",011-422 2805,RUAN.PIETERSE@FLUICONNECTO.CO.ZA,
PARTSERVE CHANNEL SUPPORT (PTY) LTD,"ADDRESS:
16 MILLER PLACE
PARTSERVE BUILDING
ALEXANDRA
SANDTON
TEL:
011-201 7777
EMAIL:
laurissab@partserve.co.za
TRADE HEADING
INFORMATION SERVICES","16 MILLER PLACE
PARTSERVE BUILDING
ALEXANDRA
SANDTON
TEL; 201 7777
EMAIL",011-201 7777,laurissab@partserve.co.za,
BUNNY PANTS GRAPHIC DESIGN STUDIO CC,"ADDRESS:
14 HEATH STREET
ARCON PARK
VERRRNIGING
TEL:
016-428 5322
FAX:
086-552 9695
EMAIL:
willem@bunnypants.co.za
TRADE HEADING
GRAPHIC DESIGNERS","14 HEATH STREET
ARCON PARK
VERRRNIGING
TEL; 428 5322
FAX; 552 9695
EMAIL","016-428 5322, 086-552 9695",willem@bunnypants.co.za,
GROENEVELD SA (PTY) LTD,"ADDRESS:
UNIT 58 SUNNYROCK
SUNROCK
GERMISTON
TEL:
011-450 3977
FAX:
011-450 3980
EMAIL:
dwn@themoment.co.za
TRADE HEADING
LUBRICANTING EQUIPMENT","58 SUNNYROCK
SUNROCK
GERMISTON
TEL; 450 3977
FAX; 450 3980
EMAIL","011-450 3977, 011-450 3980",dwn@themoment.co.za,
GILLESPIE DIESEL SERVICES (PTY) LTD,"ADDRESS:
6 TUNGSTEN ROAD
ISANDO
KEMPTON PARK
JOHANNESBURG
TEL:
011-392 3065
FAX:
011-392 3236
EMAIL:
admin@gillespiediesel.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","6 TUNGSTEN ROAD
ISANDO
KEMPTON PARK
JOHANNESBURG
TEL; 392 3065
FAX; 392 3236
EMAIL","011-392 3065, 011-392 3236",admin@gillespiediesel.co.za,
DURA POWER MANUFACTURING,"ADDRESS:
275 GRANVILLE AVENUE
NORTH ROBERTVILLE
JOHANNESBURG
TEL:
011-672 4720
EMAIL:
sales@durapower.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","275 GRANVILLE AVENUE
NORTH ROBERTVILLE
JOHANNESBURG
TEL; 672 4720
EMAIL",011-672 4720,sales@durapower.co.za,
CHEMCRAFT,"ADDRESS:
FACTORY 2
507 PRETORIA ROAD
FAIR LEADS
BENONI
TEL:
011-968 1117
FAX:
011-967 2712
EMAIL:
chemcraft@mweb.co.za
TRADE HEADING
DOCUMENT MANAGEMENT","2
507 PRETORIA ROAD
FAIR LEADS
BENONI
TEL; 968 1117
FAX; 967 2712
EMAIL","011-968 1117, 011-967 2712",chemcraft@mweb.co.za,
THE CAMERAL MAN,"ADDRESS:
19 TROJAN ROAD
STAFFORD
TEL:
011-434 5952
FAX:
011-434 4906
EMAIL:
vanessa@twimports.co.za
TRADE HEADING
CCTV SERVICES","19 TROJAN ROAD
STAFFORD
TEL; 434 5952
FAX; 434 4906
EMAIL","011-434 5952, 011-434 4906",vanessa@twimports.co.za,
NONDO & MOOR,"ADDRESS:
173 RIVONIA ROAD
ROCHESTER PLACE
MORNINGSIDE
SANDTON
TEL:
011-884 1772
FAX:
011-884 7723
TRADE HEADING
DEVELOPMENT ORGANISATIONS","173 RIVONIA ROAD
ROCHESTER PLACE
MORNINGSIDE
SANDTON
TEL; 884 1772
FAX; 884 7723
TRADE HEADING
DEVELOPMENT ORGANISATIONS","011-884 1772, 011-884 7723",,
THE SKILLS MATRIX,"ADDRESS:
14 DUIKER AVENUE
PRESIDENTSDAM
SPRINGS
TEL:
011-391 8031
FAX:
011-366 1767
EMAIL:
carien@theskillsmatrix.co.za
TRADE HEADING
TRAINING SERVICES","14 DUIKER AVENUE
PRESIDENTSDAM
SPRINGS
TEL; 391 8031
FAX; 366 1767
EMAIL","011-391 8031, 011-366 1767",carien@theskillsmatrix.co.za,
HAZCHEMWIZE (JHB),"ADDRESS:
61 RIGGER ROAD
SPARTAN PARK
KEMPTON PARK
TEL:
011-975 1218
EMAIL:
reception@hazchemwize.co.za
TRADE HEADING
TRAINING SERVICES","61 RIGGER ROAD
SPARTAN PARK
KEMPTON PARK
TEL; 975 1218
EMAIL",011-975 1218,reception@hazchemwize.co.za,
QUANTAM AUTO PARTS,"ADDRESS:
656 PRETORIA ROAD
WYNBERG
SANDTON
TEL:
011-786 8269
FAX:
011-987 9921
EMAIL:
quantumauto@telkomsa.net
TRADE HEADING
ENGINE EQUIPMENT","656 PRETORIA ROAD
WYNBERG
SANDTON
TEL; 786 8269
FAX; 987 9921
EMAIL","011-786 8269, 011-987 9921",quantumauto@telkomsa.net,
FINVEST ACCOUNTANTS,"ADDRESS:
55 VON WIELLIGH STREET
RUSTENBURG
TEL:
014-592 3984
EMAIL:
jenny@finvest.co.za
TRADE HEADING
ACCOUNTANTS","55 VON WIELLIGH STREET
RUSTENBURG
TEL; 592 3984
EMAIL",014-592 3984,jenny@finvest.co.za,
PILODIA & ASSOCIATES ACCOUNTANTS & TAX CONSULTANTS,"ADDRESS:
250 COWEN NTULI
21 EASTDENE
MIDDELBURG
TEL:
013-282 4037
EMAIL:
riazpilodia@telkomsa.net
TRADE HEADING
ACCOUNTANTS","250 COWEN NTULI
21 EASTDENE
MIDDELBURG
TEL; 282 4037
EMAIL",013-282 4037,riazpilodia@telkomsa.net,
PHUMELELA ACCOUNTANTS,"ADDRESS:
8 ROAD
NOORDWYK
MIDRAND
TEL:
011-050 0127
EMAIL:
info@phumelelaaccountants.co.za
TRADE HEADING
ACCOUNTANTS","8 ROAD
NOORDWYK
MIDRAND
TEL; 050 0127
EMAIL",011-050 0127,info@phumelelaaccountants.co.za,
MARAIS & ALCOCK PUBLIC ACCOUNTANTS,"ADDRESS:
225 RONEBULT AVENUE
FARR PARK
TEL:
011-896 5112
EMAIL:
ansia@maraisalcock.co.za
TRADE HEADING
ACCOUNTANTS","225 RONEBULT AVENUE
FARR PARK
TEL; 896 5112
EMAIL",011-896 5112,ansia@maraisalcock.co.za,
ARBEE & OSMAN CHARTERED ACCOUNTANTS (SA),"ADDRESS:
OAKS BUILDING S.A.D.C 
ST MIDDELBURG
TEL:
013-282 8358
EMAIL:
zakiyyaarbeetax@gmail.com
TRADE HEADING
ACCOUNTANTS","282 8358
EMAIL",013-282 8358,zakiyyaarbeetax@gmail.com,
WILOLEM VAN WYK REKENMEESTERS BK,"ADDRESS:
WILLIAM LYNN STREET
WHITE RIVER
TEL:
013-751 3861
FAX:
013-750 0989
EMAIL:
www@wvwaccountants.co.za
TRADE HEADING
ACCOUNTANTS","751 3861
FAX; 750 0989
EMAIL","013-751 3861, 013-750 0989",www@wvwaccountants.co.za,
THORT CHARTERED ACCOUNTANTS,"ADDRESS:
VALLEY ROAD
STRATFORD OFFICE PARK
FOURWAYS
SANDTON
TEL:
011-467 6711
EMAIL:
debtors@thortssa.co.za
TRADE HEADING
ACCOUNTANTS","467 6711
EMAIL",011-467 6711,debtors@thortssa.co.za,
D ARVANITIS & COMPANY CHARTERED ACCOUNTANTS,"ADDRESS:
31 BICCARD STREET
KRUGERSDORP
TEL:
011-953 1305
EMAIL:
darv@mweb.co.za
TRADE HEADING
ACCOUNTANTS","31 BICCARD STREET
KRUGERSDORP
TEL; 953 1305
EMAIL",011-953 1305,darv@mweb.co.za,
I A P A JOHANNESBURG CHARTERED ACCOUNTANTS,"ADDRESS:
AUTOPARKS HOUSE
13 CRESCENT
GLENHAZEL
JOHANNESBURG
TEL:
011-887 8593
EMAIL:
chavie@ipa.co.za
TRADE HEADING
ACCOUNTANTS","13 CRESCENT
GLENHAZEL
JOHANNESBURG
TEL; 887 8593
EMAIL",011-887 8593,chavie@ipa.co.za,
ERA ACCOUNTANTS,"ADDRESS:
6 ZAMBEZI STREET
THREE RIVERS
VEREENIGING
TEL:
016-454 0284
EMAIL:
era@acc.org.za
TRADE HEADING
ACCOUNTANTS","6 ZAMBEZI STREET
THREE RIVERS
VEREENIGING
TEL; 454 0284
EMAIL",016-454 0284,era@acc.org.za,
RBI CHARTERED ACCOUNTANTS INC,"ADDRESS:
34 MONKER ROAD
RANDPARK RIDGE
RANDBURG
TEL:
011-502 2900
FAX:
011-678 5230
EMAIL:
maureenb@rbiworld.co.za
TRADE HEADING
ACCOUNTANTS","34 MONKER ROAD
RANDPARK RIDGE
RANDBURG
TEL; 502 2900
FAX; 678 5230
EMAIL","011-502 2900, 011-678 5230",maureenb@rbiworld.co.za,
NETT RAND ACCOUNTANTS & AUDITORS,"ADDRESS:
683 RIVIERA LANE
FEATHERBROOKE
MOGALE CITY
TEL:
011-662 2513
EMAIL:
celichiag@netrand.co.za
TRADE HEADING
ACCOUNTANTS","683 RIVIERA LANE
FEATHERBROOKE
MOGALE CITY
TEL; 662 2513
EMAIL",011-662 2513,celichiag@netrand.co.za,
SIZWE NTSALUBA GOBODO,"ADDRESS:
41 WEST STREET
HOUGTON
JOHANNESBURG
TEL:
011-718 8600
FAX:
011-718 8601
EMAIL:
yuvonne@sng.za.com
TRADE HEADING
ACCOUNTANTS","41 WEST STREET
HOUGTON
JOHANNESBURG
TEL; 718 8600
FAX; 718 8601
EMAIL","011-718 8600, 011-718 8601",yuvonne@sng.za.com,
RECIPROCAL WINE TRADING CO (PTY) LTD,"Business Name		:	RECIPROCAL WINE TRADING Co (Pty) Ltd			
						
Physical Add.		:	PILRIG, 1 ROCKRIDGE ROAD, PARKTOWN, 2193			
						
						
Postal Add.		:				
		 				
						
Telephone No.		:	011 482 9178			
Fax No.		:	011 482 9168			
Cellular No.		:				
E-Mail Add.		:	ORDERS@RECIPROCAL.CO.ZA			
Website Add.		:	WWW.RECIPROCAL.CO.ZA			
TRADE HEADINGS						
1) 	WINE & SPIRIT SUPPLIERS","1 ROCKRIDGE ROAD, PARKTOWN, 2193			
						
						
Postal Add.		; 011 482 9178			
Fax No.		; 011 482 9168			
Cellular No.		",,ORDERS@RECIPROCAL.CO.ZA,
CARRIER MARINE SERVICES,"ADDRESS:
ROOM E7 EAST WING
3RD FLOOR 
OR TAMBO INTERNATIONAL AIRPORT
KEMPTON PARK
TEL:
011-390 2496
EMAIL:
chrisolines@servest.co.za
TRADE HEADING
WATER TRANSPORT","7 EAST WING
3RD FLOOR 
OR TAMBO INTERNATIONAL AIRPORT
KEMPTON PARK
TEL; 390 2496
EMAIL",011-390 2496,chrisolines@servest.co.za,
MODERN SCALE,"TEL:
086-172 2537
EMAIL:
paula@scalerite.co.za
TRADE HEADING
SCALE & WEIGHING EQUIPMENT","172 2537
EMAIL",086-172 2537,paula@scalerite.co.za,
INSTRUMENT TRANSFORMER TECHNOLOGIES (PTY) LTD,"ADDRESS:
184 A VARBARA ROAD
JOHANNESBURG
TEL:
011-822 8022
FAX:
011-822 1651
EMAIL:
jan@ittza.co.za
TRADE HEADING
GENERATORS & ACCESSORIES","184 A VARBARA ROAD
JOHANNESBURG
TEL; 822 8022
FAX; 822 1651
EMAIL","011-822 8022, 011-822 1651",jan@ittza.co.za,
SYSTEM AIR,"ADDRESS:
STAND 185 NORTHLANDS BUSINESS PARK
OLYMPIC DUAL AVENUE
NORTH RIDING
JOHANNESBURG
TEL:
011-462 7993
EMAIL:
savn@systemair.co.za
TRADE HEADING
VENTILATOR & AIR VENT EQUIPMENT","185 NORTHLANDS BUSINESS PARK
OLYMPIC DUAL AVENUE
NORTH RIDING
JOHANNESBURG
TEL; 462 7993
EMAIL",011-462 7993,savn@systemair.co.za,
ALPHA POWER - OFFICE,"TEL:
011-453 3749
EMAIL:
ej@alphapower.co.za
TRADE HEADING
UNINTERRUPTIBLE POWER SUPPLIES","453 3749
EMAIL",011-453 3749,ej@alphapower.co.za,
WILFRED & SON SWOP & PAWN,"ADDRESS:
359 2 AVENUE
ENNERDALE
GRASMERE
TEL:
011-855 4469
EMAIL:
shantelle@mtnloaded.co.za
TRADE HEADING
PAWN BROKERS","359 2 AVENUE
ENNERDALE
GRASMERE
TEL; 855 4469
EMAIL",011-855 4469,shantelle@mtnloaded.co.za,
IMPRO TECHNOLOGIES (PTY) LTD (BROADACRES),"ADDRESS:
UNIT 1 / 2 GATESIDE CNR CEBAR
& GATESIDE AVENUE
BROADACRES
TEL:
086- 004 6776
EMAIL:
derrenl@impro.net
TRADE HEADING
access control","2 GATESIDE CNR CEBAR
; 004 6776
EMAIL",086- 004 6776,derrenl@impro.net,
HYPER PAWN (FLORIDA),"ADDRESS:
31 GOLDMAN STREET
FLORIDA
ROODEPOORT
TEL:
011-674 3752
EMAIL:
hyperpawn@live.co.za
TRADE HEADING
PAWN BROKERS","31 GOLDMAN STREET
FLORIDA
ROODEPOORT
TEL; 674 3752
EMAIL",011-674 3752,hyperpawn@live.co.za,
GOLD & FINANCE,"ADDRESS:
2 MAUDE STREET
7TH FLOOR FORUM BUILDING
TEL:
011-883 9972
EMAIL:
info@goldfin.co.za
TRADE HEADING
PAWN BROKERS","2 MAUDE STREET
7TH FLOOR FORUM BUILDING
TEL; 883 9972
EMAIL",011-883 9972,info@goldfin.co.za,
M F N LIFTING SYSTEM,"ADDRESS:
284 DEODAR STREET
PORNONA
KEMPTON PARK
TEL:
011-552 3505
FAX:
086-612 9006
TRADE HEADING
LIFT GEAR","284 DEODAR STREET
PORNONA
KEMPTON PARK
TEL; 552 3505
FAX; 612 9006
TRADE HEADING
LIFT GEAR","011-552 3505, 086-612 9006",,
THAVALERIE TRAVEL,"ADDRESS:
20 GRAHAM ROAD
ARCADIA
EAST LONDON
TEL:
043-722 3701
FAX:
043-722 4415
EMAIL:
thavlerietravel@telkomsa.net
TRADE HEADING
TRAVEL AGENCY","20 GRAHAM ROAD
ARCADIA
EAST LONDON
TEL; 722 3701
FAX; 722 4415
EMAIL","043-722 3701, 043-722 4415",thavlerietravel@telkomsa.net,
SISONKE DEVELOPMENT PLANNERS,"ADDRESS
6 STREK STREET
NELSPRUIT
TEL:
013-755 2914
FAX:
013-755 2803
EMAIL:
marika@sisonkedevelopmentplanners.co.za
TRADE HEADING
LOCAL GOVERMENT","6 STREK STREET
NELSPRUIT
TEL; 755 2914
FAX; 755 2803
EMAIL","013-755 2914, 013-755 2803",marika@sisonkedevelopmentplanners.co.za,
GARTNER AFRICA,"ADDRESS
2ND FLOOR YHE DISTRICT
8 KIKUYA ROAD
SUNNINGHILL
SANDTON
TEL:
011-803 4706
EMAIL:
lisa.lawlor@qartner.co.za
TRADE HEADING
INFORMATION SERVICES","8 KIKUYA ROAD
SUNNINGHILL
SANDTON
TEL; 803 4706
EMAIL",011-803 4706,lisa.lawlor@qartner.co.za,
TEAM DIESEL SERVICES CC,"ADDRESS
10 MODEL ROAD
WITFIELD
BOKSBURG
TEL:
011-823 3770
FAX:
011-823 2652
EMAIL:
busi@teamdiesel.co.za
TRADE HEADING
DIESEL ENGINEERING","10 MODEL ROAD
WITFIELD
BOKSBURG
TEL; 823 3770
FAX; 823 2652
EMAIL","011-823 3770, 011-823 2652",busi@teamdiesel.co.za,
DOCUTILE (JHB) (PTY) LTD,"ADDRESS:
CAPITAL HILL COMMERCIAL ESTATE
85 MORKELS CLOSE
HALFWAY HOUSE
MIDRAND
TEL:
011-312 5000
EMAIL:
candice@docutile.co.za
TRADE HEADING
DOCUMENT MARKETING","85 MORKELS CLOSE
HALFWAY HOUSE
MIDRAND
TEL; 312 5000
EMAIL",011-312 5000,candice@docutile.co.za,
LIVE WIRE LEARNING (PTY) LTD,"ADDRESS:
29 NANYUKI ROAD
SUNNYHILL PARK
SANDTON
TEL:
011-807 7716
FAX:
011-807 7856
EMAIL:
info@livewireleaming.co.za
TRADE HEADING
EDUCATIONAL EQUIPMENT","29 NANYUKI ROAD
SUNNYHILL PARK
SANDTON
TEL; 807 7716
FAX; 807 7856
EMAIL","011-807 7716, 011-807 7856",info@livewireleaming.co.za,
DURCRAFT KITCHEN (PTY) LTD,"ADDRESS:
26 EGWENA ROAD
SEBENZA
ENDANVALE
TEL:
011-452 1486
FAX:
086-621 5538
TRADE HEADING
KITCHEN FURNITURE INSTALLATIONS","26 EGWENA ROAD
SEBENZA
ENDANVALE
TEL; 452 1486
FAX; 621 5538
TRADE HEADING
KITCHEN FURNITURE INSTALLATIONS","011-452 1486, 086-621 5538",,
RISK ZA,"TEL:
086-174 7592
EMAIL:
megan@risk.za.com
TRADE HEADING
QUALITY ASSURANCE SERVICES","174 7592
EMAIL",086-174 7592,megan@risk.za.com,
RADICAL MOBILITY,"ADDRESS:
3 JERRA STREET
BREAUNANDA
KRUGERSDORP
TEL:
011-664 6069
FAX:
086-676 3442
TRADE HEADING
DISABILITY AIDS & EQUIPMENT","3 JERRA STREET
BREAUNANDA
KRUGERSDORP
TEL; 664 6069
FAX; 676 3442
TRADE HEADING
DISABILITY AIDS ","011-664 6069, 086-676 3442",,
MONYETLA SERVICES (PTY) LTD,"ADDRESS:
VESCO CENTRE DELFOS BOULEVARD
VANDERBIJL PARK
TEL:
016-889 9830
FAX:
016-889 9823
TRADE HEADING
RECRUITMENT CONSULTANTS","889 9830
FAX; 889 9823
TRADE HEADING
RECRUITMENT CONSULTANTS","016-889 9830, 016-889 9823",,
CAVALIERI CHEESE CC,"ADDRESS:
30 WATERVAL AVENUE
RIVERSIDE INDUSTRIAL PARK
NELSPRUIT
TEL:
013-752 6438
FAX:
013-752 6443
TRADE HEADING
DAIRY PRODUCTS","30 WATERVAL AVENUE
RIVERSIDE INDUSTRIAL PARK
NELSPRUIT
TEL; 752 6438
FAX; 752 6443
TRADE HEADING
DAIRY PRODUCTS","013-752 6438, 013-752 6443",,
BANDINI CHEESE,"ADDRESS:
DOORNKOP
ROODEPORT
TEL:
011-765 1462
FAX:
011-765 1522
TRADE HEADING
DAIRY PRODUCTS","765 1462
FAX; 765 1522
TRADE HEADING
DAIRY PRODUCTS","011-765 1462, 011-765 1522",,
