Name,Category,Phone,Email,Description
ActionCOACH Faerie Glen,Employee Wellbeing,(076) 984-9248,,Introducing Michael Andrew Are you working longer hours than you want to or ever thought you would be? Do you want to regain the vision and dream that led you to forming your own business in the first place? What would you do to regain control of your lif...
3@Marion Guesthouse,Accommodation,082 549 9790,,Warm rooms &amp; apartments in a relaxed guesthouse offering a BBQ area &amp; complimentary breakfast.
Curo Health,Pharmacies,(012) 748-3000,,"Curo Health is a Health and Wellness management company based in Gauteng, South Africa with offices in the Western Cape, KwaZulu Natal, Eastern Cape, Limpopo and the Free state. The Curo Health Group of companies was created in 2012 by acquiring the f..."
About Catering Hire,Restaurants,(012) 379-7734,,"Welcome to About Catering Hire (est. 2007) where we live our company motto, “It’s all about your function needs”. &nbsp;Over the past years we built up an excellent track record. Testimony thereof is that the most of our clients are by “word of mouth”.
W..."
Curo Health,Health and Medical,0000-00-00,,"Curo Health is a Health and Wellness management company based in Gauteng, South Africa with offices in the Western Cape, KwaZulu Natal, Eastern Cape, Limpopo and the Free state. The Curo Health Group of companies was created in 2012 by acquiring the follo..."
ARC.LNR,Accounting,012 427 9700,,
Cavalier Abattoirs,Agriculture & Environment,,,
Casa Toscana Lodge & Die Blou Hond Theatre,Lodges,012 348 8820,,
Carpe Diem Academy,Training,083 321 9250,,
Calamos Communications,Communications (ICT),082 551 2190,,"Since 2007, Calamos Communication has been a fully authorised reseller/agent for iConnect SA. iConnect is a fully-licensed and independent telecommunications service provider, focused on end to end integrated communications solutions and services. iConnec..."
Cafè Crust,Food & Beverage,(013) 235-3344,,
C4K Centurion,Finance & Business Services,083 308 7754,,
BusinessPrint,Marketing,(012) 843 7600 / 0861 42 4259,,Business Print&nbsp;is a state-of-the-art printing service. Our customers are at the core of our business. The foundation and success of our business is the unique relationship that develops between us and our customers; it is this interdependence and tru...
Brew @ Home,Food & Beverage,(083) 314 4288,,
Skill Indawo,Coaching & Mentoring,641 608 227,,
Brain & Gerda Whitehorn(Estate Agent Pam Golding),Professional Services,0795157799,,
Bothaville Spar,Functions & Events,0565154815,,
Bothaville Rekenaardienste,Office Services,0565152277,,
BMT Security Sevices,Finance & Business Services,(012) 771-2702,,
Bluemoon Upholstery & Distribution,Manufacturing,,,
Blue Flame Grill,Restaurants,(012)548-2716,,
Something Fishy,Tourism & Events,012 565 6433,,
Sonja du Toit t/a BAN,Accounting,012 772 3096,,
Snappy Chef,Tourism & Events,(012) 997-1611,,"Who Are We?
The Snappy Chef Group was established in 2010 to take advantage of the energy crisis that plagues not only South Africa but is also a problem in many countries across the globe. Snappy Chef has become the Leader in Induction Appliances in Sou..."
Speaking in Public,Life Coaching,0827366548,,"Speaking in Public is an International Wealth company that works with entrepreneurs, investors, including private and public companies. We focus on skills development, coaching, and mentoring in the field of Sales, &nbsp;Marketing, Property, and Business..."
2 Spice up Marketing,Websites,081 450 9183,,
Signum Financial Services,Finance & Business Services,(012) 365-3146,,"Signum is an exciting financial services company, which offers professional, independent financial advice to our clients. Our qualified, registered financial advisors offer a unique one-stop integrated service, providing a diverse range of solutions and o..."
Sungardens,Health & Medical,(012) 348-1934,,"An experienced, specially trained nursing sister assesses the patient and makes a commitment to be accessible whenever the need arises, visiting the patient on a regular basis at home and providing physical care and emotional support. In-patient care We h..."
The Willows Country Lodge,Lodges,012 807 4100,,
The Cowshed,Catering,(072) 243-2429,,
The Lemon Tree Garden Route,Food & Beverage,012 734 0778,,
Talrad Engineering,Manufacturing,,,
Sure African Imprint Travel,Travel Agencies,(012) 542-1911,,
Successful Sales,Marketing,(087) 751-1445,,
Sterkspruit Veterinary Clinic,Health & Medical,(013) 235-4132,,
Benla Enterprises,Manufacturing,712 742 592,,
Steak-Inn Grill & Butcher,Restaurants,012 991 4733,,
Beefcor,Wholesale & Retail,012 386 6079,,
Stay Easy Pretoria,Hotels,012 407 0600,,
The Woodpecker Inn Guest House Pretoria,Guest Houses,012 993 5838,,
Beauco Security,Finance & Business Services,061 339 6278,,
Bearing Man Group Lydenburg,Manufacturing,013 235 1092,,
The MusicShop,Retail,132350115,,
Batter Boys Village,Catering,(012) 548-0101,,
The Brazen Head,Restaurants,012 807 3509,,
Barnard Finansiele Dienste,Finance & Business Services,0834476188,,
The Branding Factory,Finance & Business Services,072 172 0809,,
The Black Bamboo,Food & Beverage,084 508 9752,,
The Blades,Food & Beverage,012 808 9943,,
TDJB Engineering,Manufacturing & Logistics,0125414255,,
Barko Development PTY Ltd,Marketing,(013) 235-1030,,
Tamboti Bush Lodge,Accommodation,012 711 0909,,
Balkin Hardware (Pty) Ltd,Manufacturing & Logistics,0565152029,,
Ballenden & Robb Consulting Engineers C C,Manufacturing & Logistics,012 348 8555,,
Time Square Casino,Hotels,0860 846 377,,"&nbsp;A world-class business destination in Tshwane &nbsp;
A trailblazing first for South Africa, The Maslow Time Square features a variety of hotel accommodation all under one roof. Located in the heart of the technologically advanced Menlyn Maine Preci..."
Progressive Industrial Relations,Skills Development,(012) 803-8438,,"Progressive Industrial Relations&nbsp;was founded in 1987.
We provide advice, representation, training, support, planning and guidance in the following:

Discipline and dismissal in respect of misconduct
Discipline and dismissal in respect of incapaci..."
Casa Bourguesa,Food & Beverage,012 991 0781,,
Captains,Restaurants,072 600 4191,,
Cappuccinos Waverley,Food & Beverage,(012)332-0344,,
Burger Shack,Tourism & Events,061 851 5421,,
Brasseriede Paris,Restaurants,012 460 3583,,
Box Office Pizza Pasta,Restaurants,011 472 9045,,
Boston BBQ (Wonderboom),Restaurants,(012)567-7152,,
Blos Café,Restaurants,012 991 1790,,
Big Bite Fast Foods,Restaurants,012 565 5752,,
Baobab Café and Grill,Restaurants,012 368 1003,,
Bakgat Kafee,Food & Beverage,071 314 7963,,
Big Al's,Restaurants,082 573 9305,,
Piccola Italia,Tourism & Events,012 460 0836,,
Avbob Mutual Assurance Society,Insurance,086 128 2621,,"Old Mutual provides investment, savings, life assurance, asset management, banking and property and personal insurance in Africa, Europe, the Americas and Asia.
Visit the Old Mutual website to find information on the South African Market which is specifi..."
Astra Solar Energy,Manufacturing,012 364 2420 / (082) 766-1842,,"The photons of light from the sun excite the electrons in the solar cells into a higher state of energy allowing it to act as charge carriers for an electric current. This energy is known as a Direct Current (DC) 12v 24v 36v etc.
In order for this energy..."
As Greek as it Gets,Lodges,083 632 5364,,
Arma Iuris,Legal,0861 282 282,,
Arcadia Hotel,Tourism & Events,012 326 9311,,
Aquizi Lodge,Accommodation,,,
Anton Boswell Attorneys,Legal Compliance,012 345 4640,,"We develop customised solutions for each client, delivering on the client's needs and solving their legal, HR, IR, compliance and risk issues.
With more than 20 years of experience, we are perfectly positioned to provide key strategies to our clients to..."
Anton Bakker,Legal,(012) 460-9789,,
Amanzintaba Resort,Self  Catering,079 734 3773,,
Almeida-Grobler Attorneys,Legal,128 072 205,,
Allemans Concrete,Manufacturing,082 567 5363,,"Allemans concrete walls is a family business. We have been manufacturing and installing concrete walls, concrete tools sheds, concrete garden sheds and Zo Zo houses for more than 30 years.
&nbsp;
We are also capable of building you your dream house, wit..."
All Telecoms,Website Development,012 940 8863,,"ABOUT ALL TELECOMS
All-Telecoms started in 2004 as a marketing firm that quickly evolved into a mobile marketing agency. We are one of the few proudly South African companies that specialize in creating local products, which eliminates the need to rely o..."
Aliquot Integrated Marketing,Marketing & Networking,129 973 746,,
Villa San Giovanni,Food & Beverage,012 111 8888,,"Discover
OUR STORY
✻
No matter how many times one eats at Villa San Giovanni, there is always a traditional Italian taste to be experienced. Our food is a true celebration of southern Italian flavours that have been carefully prepared by the owner and..."
Villa Sterne Hotel,Hotels,012 346 2255,,
Toolmaking Association of South Africa - Gauteng (TASA),Engineering,(012) 643-1285,,
Town Lodge Menlo Park,Accommodation,012 348 2711,,
Top 2 Bottom Cleaning Solutions,Finance & Business Services,(073) 722-7913,,
Villa Jana Guesthouse,Accommodation,071 034 0961,,
Villa Amor,Tourism & Events,083 231 2063,,
VAN ZYL LE ROUX INCORPORATEDConveyancing and Real Estat...,Legal,(012) 435-9444,,"Specialist departments at this law firm create an opportunity for broader and more efficient service provision by directors and personnel with specific skills, experience and knowledge of local and national markets. Since our establishment in 1943, our le..."
Veroz Boutique Hotel,Accommodation,012 542 1118,,
Two Rivers Platinum (Pty) Ltd,Platinum,(013) 230-2800,,
Tram Village Lodge & Conference Center,Accommodation,012 346 2880,,
Town Lodge Menlo Park,Accommodation,012 348 2711,,
WIMPY,Food & Beverage,013 932 3090,,
WI Training,Finance & Business Services,(072) 170-0299,,
Al Dente,Accommodation,012 460 9686,,
Wesvaal Chamber of Business,Associated Partnerships,715 800 667,,
Vivid Technologies,Network Set-up & Security,012 751 2979,,
Afrocentric IP,Telecommunications,012 844 0686,,"Our Phylosophy&nbsp;
Afrocentric IP stands for Afrocentric Intellectual Property. The name is derived from the urgency that Africa must begin to generate or create HER own Intellectual Property through innovation and begin to be in the for front of putti..."
Africa Implemente,Associated Partnerships,0565154380,,
Wegezi Power,Electrical,012 386 9490,,
Waterfalls Boutique Hotel Pretoria,Hotels,012 346 6218,,
Africa Guest House,Guest Houses,072 643 8474,,
Voice of God Business Forum,Associated Partnerships,604 349 148,,
"Adapt IT Training & Development, a Division of Adapt IT...",Skills Development,(012) 425-5707,,"Based in Monument Park, Pretoria, Adapt IT's training centre caters for all training and conferencing needs. Our training services are focused on empowering people with essential skills and relevant knowledge. Besides boosting productivity, basic skills c..."
VDT Attorneys Inc,Legal Compliance,012 452 1300,,"We offer tailor-made and effective solutions to solve any legal problem in a cost-effective manner. Acting in a professional manner, we strive to render a professional service at all times and specialise in diversification to suit every legal need.
We al..."
ADALTA,Communications (ICT),011 465 9621,,
Vanani Wholesale Enterprises CC,Fruits & Veggies,012 328 3851/5,,"ABOUT US:-
Vanani Fresh Produce (Pty) Ltd is a registered company as per CIPC requirements with its premises strategically situated within the premises of Tshwane Fresh Produce Market in Pretoria Gauteng. Vanani is compliant in every respect in terms of..."
Active Service Excellence of SA,Finance & Business Services,012 547 6243,,"Welcome to ASESA

Active Service Excellence South Africa (ASESA) has been operating as a toll free hotline service provider since 1999. The hotline is designed to gather valuable intelligence, concerning service related deviations that impact negative..."
Wubbeling Engineering (Pty) Ltd,Infrastructure & Construction,012 541 2237,,
WOZANI IoT SOLUTIONS,Communications (ICT),083 675 9146 / 012 343 1685,,"Wozani – IOT Solutions:
Business development, Resourcing and account management, brings together products, solutions, and partners, within the IOT Industry through&nbsp;SMART-biz4all&nbsp;making business, factories, construction sites, mines and homes et..."
Wise Design Africa,Engineering Services,012 541 0924,,
Xmets Security,Safety & Security,(076) 461-0302,,
Yendelela Engineering,Professional Services,132 350 079,,
Wilna Joubert Consultancy,Finance & Business Services,082 7858 288,,
Young Minds at Work,Education,(079) 682-1081,,
Zamori (Member),Engineering Services,125 433 487,,
AccTech Systems,Communications (ICT),086 111 1680,,
About IT Pretoria,Communications (ICT),(012) 460-1003,,"&nbsp;
Founded in February 2003 and with its&nbsp;head office&nbsp;based in Gauteng, South Africa, the About IT Group has grown in leaps and bounds establishing branches in Pretoria, Johannesburg, Port Elizabeth, Nelspruit, Bloemfontein, Durban and the W..."
ABE Fire Consultant,Finance & Business Services,082 730 1782,,
Zizwe Opencast Mining (Pty) Ltd,Coal,(013) 235-2688,,
Pro Admin (Member),Property Management,(012) 481-6060,,Within twenty years Pro Admin has grown to be a market leader in property management in South Africa. The company engaged in a continuous quality management process in terms of the requirements of the INTERNATIONAL STANDARDS ORGANISATION. During 2008 we a...
Omnival Valuations Pty (Ltd),Professional Services,(012) 335-4993,,
Rainbow Junction,Property Management,012 548 6270,,"Welcome to Rainbow Junction
Rainbow Junction is a 140ha premier, mixed-use, modern lifestyle and business development nestled in the foyer of the City of Tshwane, only 6 km north of Pretoria's CBD.
With excellent access to all major arterial roads, rail..."
Redefine Properties,Developers,011 283 0182,,"We're not landlords. We're people.
Redefine is a trusted partner in the property market, with a focus on owning, managing and developing quality property. We continue to grow our diversified portfolio and are one of the largest listed property companies..."
Property Development Financial Feasibility Consultants,Property Developers,(082) 457-8913,,"PDFF Consultants is a firm of Quantity Surveyors managed by Professionals with expertise in Property Consulting, Property Development and Construction Industry
Our Company was formed with the mission of understanding our client’s business as well as thei..."
Zero Plus Developments,Property Developers,,,
Brooklyn Property Group,Property Developers,,,
Atterbury Property,Developers,,,
Sharon Christian College,Research & Knowledge,012 804-4262,,
Woodhill College,Research & Knowledge,012 998 1774,,
Waterkloof Christenskool College,Research & Knowledge,081 333 5158,,
Universal College Outcomes Pretoria,Research & Knowledge,012 321 2780,,
Tyger Valley College,Research & Knowledge,012 809 2879,,
TSHWANE NORTH TVET COLLEGE,Research & Knowledge,012 401 1727 / 1961,,
Thuto Bophelo Nursing Academy Pty Ltd,Research & Knowledge,0861 687 7464,,
THE MONTESSORI ACADEMY AND COLLEGE,Research & Knowledge,012 996 0855,,
Susca Watts Beauty Academy,Research & Knowledge,083 276 5557,,
Summat College: Pretoria,Research & Knowledge,012 323 0201,,
Star College Pretoria,Research & Knowledge,012 807 2346,,
Srq Ambulance Training College Cc,Research & Knowledge,0860 102 214,,
Shepperd Academy,Research & Knowledge,012 320 8334,,
Sedcocollege,Research & Knowledge,012 753 3753,,
Saint Alban's College,Research & Knowledge,012 348 1221,,
SA College School,Research & Knowledge,012 326 1461,,
Rostec Technical Fet College,Research & Knowledge,012 320 8078,,
Rosebank College Pretoria Campus,Research & Knowledge,012 320 7270,,
Princess Park Secondary School & College,Research & Knowledge,012 324 5075,,
Princess Park College,Research & Knowledge,012 324 5074,,
Pretoria Technical College,Research & Knowledge,012 320 3600,,
Prestige College,Research & Knowledge,012 711- 8600,,
PCD College,Research & Knowledge,012 335 5793,,
OAKFIELDS COLLEGE,Research & Knowledge,012 361 0416,,
New Dawn College,Research & Knowledge,(012) 270-3659,,
MSC Business College,Research & Knowledge,(012) 322 2800,,
Menlyn Technical College,Research & Knowledge,012 320 8985,,
Lyceum College,Research & Knowledge,012 320 0390,,
Loreto Convent School,Research & Knowledge,012 326 6342,,
KINGS & QUEENS COLLEGE,Research & Knowledge,012 752 8975,,
Jintek Varsity College,Research & Knowledge,012 320 2455,,
JEPPE COLLEGE of Commerce & Computer Studies,Research & Knowledge,012 323 5927,,
Intec College,Research & Knowledge,012 352 9000,,
Inscape Education Group,Research & Knowledge,012 346 2189,,
EDUSA College,Research & Knowledge,012 320 4747,,
Ed-U-College Secondary School,Research & Knowledge,012 323 0413,,
DSDC COLLEGE OF SA,Research & Knowledge,012 323 5962,,
Denver College,Research & Knowledge,012 320 4339,,
Dansa International College,Research & Knowledge,012 320 4677,,
CTI Education Group,Research & Knowledge,012 348 3060,,
Crawford College,Research & Knowledge,012 343 2257,,
Crane International Academy,Research & Knowledge,013 656 2614,,
Cornwall Hill College in Irene,Research & Knowledge,012 667 1360,,
CORNERSTONE COLLEGE,Research & Knowledge,012 804 8350,,
COLLEGE SA,Research & Knowledge,080 021 2322,,
COLLEGE CAMPUS,Research & Knowledge,(012) 343-2504,,
Churchil Resource College,Research & Knowledge,012 767 8870,,
BRITISH INTERNATIONAL COLLEGE,Colleges,012 343-5237,,
Boston City Campus & Business College,Research & Knowledge,012 343 1731,,
Boekenhoutkloof Traffic College,Research & Knowledge,012 372 8000,,
Anchor Christian Academy,Research & Knowledge,012 800 2387,,
Akademia,Colleges,086 122 2888,,"ABOUT Akademia
With the advent of the information revolution, the education and training landscape not only domestically but worldwide undergo drastic changes.&nbsp;Where higher education traditionally been reserved for a few lucky ones are there today i..."
Pretoria Institute of Architects (pia),Associations,012 346 1051,,"The Pretoria Institute for Architecture (PIA) is a Voluntary Association recognised by the South African Council for the Architectural Profession (SACAP), and is a ‘Regional Institute’ of the South African Institute of Architects.
The PIA has its origins..."
Massage Onsite,Health & Medical,(012) 751-6707,,
Annique (Jennifer Greyling),Health & Medical,072 202 2416,,
"Gemoedsrus,Exhibitions and Motors",Servicing,(012) 993-1813,,
Nedbank Ltd,Financing,(012) 436-7000,,"Your dedicated business manager is the interface between you and Nedbank and will act as your primary point of contact for all your personal and business banking needs, providing you with relevant solutions, which reflect our in depth understanding of you..."
Standard Bank Tshwane,Finance & Business Services,011 721 6992 / 011 721 7728,,"Personal banking
Whether you want to transact, save or borrow, we have the financial solution for you. With innovative products and services designed to evolve with your changing needs.&nbsp;
Business banking
As South Africa&rsquo;s leading Busines..."
Agri Skills Transfer Pty Ltd,Skills Development,012 460 9585,,"Welcome To Agri Skills Transfer
Agriskills Transfer was established in 2004 for training mainly in the Agricultural Sector (Primary and Secondary).
Agriskills Transfers training is developed on the SAQA system. We took a business decision to align with..."
Miadi Consulting,Skills Development,(082) 776-5511,,"Arie Penning is a registered Industrial Psychologist and completed his Masters Degree at the University of Pretoria in 1988. Arie started his own company, Miadi Consulting, in 2006 after spending 21 years in the Financial Sector. Being a generalist for mo..."
iThemba,Skills Development,,,
BPC HR Solutions,Skills Development,012 807 2504,,"Recruitment and Skills Development Training Consultants
BPC HR Solutions has been established in 2002 and is currently registered as a Private Further Education &amp; Training College.
We provide the following comprehensive, integrated and specialist co..."
Mooirivier Beskerming Pretoria,CCTV,(012) 546-0373,,"We provide Cutting edge Electronic CCTV Security Systems catered to the customers own specific needs We are know for our dedicated service, hands-on management and affordable rates with many years of experience in the security industry. Mooirivier Beskerm..."
Nceda Business Technologies,CCTV,012 003 2966,,"ABOUT US
NCEDA Business Technologies was established in 2009 with the aim of creating, improving and managing intelligent business technologies. Our vision is to become one of the leading service providers in Africa that support businesses through innova..."
Kgwebong Consulting,Broadcasting,082 663 5389,,"Established in 2012, Kgwebong Consulting (Pty) Ltd is a 100% black owned and managed enterprise. Kgwebong Consulting (Pty) Ltd is a multi-service provider of a wide range of technical consulting and support services across various business sectors. We pro..."
RBJ Marketing Solutions,Marketing & Networking,(012) 460-0246,,"Welcome to RBJ Marketing Solutions
RBJ Marketing Solutions is a new age marketing service enterprise, which prides itself on providing effective Marketing solutions to both Corporations and Brands alike.&nbsp;
Our unique service offering is tailored in..."
Jasmine Palace,Restaurants,012 998 6233,,
Isabella's Cake & Food Shop @ Waterkloof,Restaurants,012 346 0477,,
Imagine Cafe,Food & Beverage,082 874 6456,,
Hillside Tavern Grill,Food & Beverage,012 348 1402,,
Gourmet Exposure,Food & Beverage,012 663 3373,,
Gambinos,Food & Beverage,(012) 329-7666,,
fishaways,Restaurants,012 702 7431,,
Ed's Diner,Restaurants,012 99 888 02,,
Downtown Restaurant,Food & Beverage,012 841 4130,,
Doppio Zero - Hazeldean,Food & Beverage,012 809 1149,,
DK Gourmet Burger & Craft Beer Bar,Food & Beverage,012 771 3444,,
Die Stoep Restaurant,Restaurants,013-932 5101,,
Die Bos Restuarant en Pub,Food & Beverage,079 777 6125,,
Debonairs Pizza (WonderPark),Restaurants,012 549 4876,,
Tshidiso Tours,Tours,011 042 5113 /078 539 7641,,
Stone Cradle,Tours,073 266 2555,,
Skyline Commute & Shuttle,Travel,081 858 7750,,
ManCave,Travel,,,
Jennifer Cole Travel Counsellors,Tours,084 637 1157,,
DitshabaTravel,Tours,012 654 2902,,
Bush Whisper Expeditions CC,Tourism & Events,082 377 0085,,
Cuppa Volta,Food & Beverage,012 653 1263,,
Wispering Oak Garden Café Restauran,Restaurants,012 734 2496,,
Vila Nova,Food & Beverage,(012) 548-3904,,
Tranna Indian - Silver Lakes,Restaurants,012-809 1952,,
Tolbos Country Shop and Restaurant,Food & Beverage,042 283 0437,,
The Cockpit Brewhouse,Restaurants,012 734 0656,,
Lucky BREAD Company,Tourism & Events,012 346 0979,,
Studio 14 Tea Garden and Gallery,Liqour Distributors,(079)8658454,,
Destiny Lodge,Functions & Events,,,
Status Controls CC t/a Jamii,Restaurants,012 803 1173,,
Solera Restaurant & Bar,Food & Beverage,(012) 772-4768,,
Youth Skills Intergration,Functions & Events,,,
Roving Cusine,Restaurants,061 104 4337,,
Rosemary Hill,Restaurants,012-802 0052,,
Roman's Pizza,Restaurants,012 790 6467,,"&nbsp;A world-class business destination in Tshwane &nbsp;
A trailblazing first for South Africa, The Maslow Time Square features a variety of hotel accommodation all under one roof. Located in the heart of the technologically advanced Menlyn Maine Preci..."
RAFTERS,Tourism & Events,012 480 0347,,
Prosopa,Tourism & Events,012 460 1663,,
Pride of India,Tourism & Events,012 346 3684,,
Piza é Vino 4 Ever - Waterkloof,Tourism & Events,012 346 5119,,
Piacere Restaurant Cullinan,Food & Beverage,082 203 9746,,
Panarottis Pizza Pasta Wonderpark,Tourism & Events,011 287 5300,,
Oppiplaas Restaurant,Restaurants,012 333 2117,,"Waar gaste Vriende word” /“Where guests become friends”
A venue for the whole family with a rich history in culture and values. Oppiplaas restaurant is situated in the heart of the Jacaranda city and boasts a menu and venue filled with tradition and atmo..."
Ocean Basket,Food & Beverage,013 932 2644,,
O'Galito,Food & Beverage,012 997-4164,,
Nuvo Cuisine,Food & Beverage,082 776 2502,,
Elize Mare Photography,Functions & Events,082 835 4724,,
Nando's Pretoria North,Food & Beverage,011 808 5700,,
Mo-Zam-Bik Restaurant - Silver Lakes,Tourism & Events,012 817 2014,,
Meet on Milner,Tourism & Events,083 627 8172,,
Jimro Spitbraai,Food & Beverage,011 206 1881,,
Magalies Mountain Lodge,Food & Beverage,086 556 3730,,
Waterkloof GuestHouse,Guest Houses,012 346 1791,,
Waterhouse Guest House,Guest Houses,012 343-7350,,
Tussen-I-Bome,Tourism & Events,082 511 1169,,
Tuishuis Lodge (Member),Lodges,083 284 0673,,
The Willows Country Lodge,Tourism & Events,012 807 4100,,
THE NEW MAROELA HOTEL,Tourism & Events,012 546 0505/6,,
The Monte Carlo Bed and Breakfast,Tourism & Events,012 667 1155,,
Le Pate A Choux Bestro And Consectioners,Cullinan,,,
The Lakes Boutique Lodge,Hotels,012 809 0423,,
The Farm Inn,Lodges,012 809 0266,,
The Falling Feather Inn,Tourism & Events,072 223 6511,,
The Elegant Lodge Menlo Park,Lodges,012 346 6460,,
The Bushbaby Inn,Guest Houses,012 804 9239,,
The Angels Place Boutique Hotel,Accommodation,012 997 7018,,
Temple Hemdrik,Tourism & Events,082 786 5071,,
Swallows Rest Guest House,Accommodation,012 345 1617,,
SUN1 Pretoria,Tourism & Events,012 323 8331,,
Spa Beau,Accommodation,012 460 7223,,
Southern Sun Pretoria,Tourism & Events,012 444 5500,,"WELCOME TO THE SOUTHERN SUN PRETORIA
Exceptional Service At One Of Pretoria’s Leading Hotels
Located in South Africa’s administrative capital, our Pretoria hotel is the perfect blend of elegant design and traditional hospitality. The hotel is popular am..."
Sinkshack Guesthouse,Guest Houses,078 741 7597,,
Silverlakes Guest House,Tourism & Events,079 090 1855,,
Silver Palms Guest House,Guest Houses,082 929 9192,,
Sheraton Pretoria Hotel,Hotels,012 429 9999,,
Sgegede Lodges & Tours,Lodges,012 377 3332,,
Royal Elephant Hotel & Conference Centre,Accommodation,012 658 8000,,
Riverside Castle,Accommodation,071 602 6285,,
Pumulani Lodge,Tourism & Events,012 819 1531 / 012 819 1525,,The farm house built at that time still graces the premises with its presence to this day. Eventually the farm was subdivided and the current area called Pumulani. Pumulani the venue facility is currently owned by Suzette Lerm. A Place of Rest is exactly...
Private Accommodation Office,Guest Houses,012 362 5112,,
Pretoria Backpackers,Accommodation,012 343 9754,,
Premier Hotel Pretoria,Accommodation,012 441 1400,,
Picture This - Pretoria North Lodge,Tourism & Events,012 546 1954,,
Peter's Guesthouse,Tourism & Events,012 807-1804,,
Oxbow Country Estate,Tourism & Events,013 932 8000,,
OuKlip Game Lodge,Tourism & Events,071 313 5380,,
Oczars Residential Place,Accommodation,012 805 6344,,
Nokeng Eco Lodge,Accommodation,072 385 2441,,
Ndlovu Lodge,Guest Houses,012 809 0432,,
N&A SELF CATERING GUEST HOUSE,Guest Houses,012-364 2617,,
Mvubu Lodge,Accommodation,082 923 3063,,
Mr Mahlangu Bed & Breakfast,Tourism & Events,012 711 0330,,
Mooiplaatsie Country Estate,Tourism & Events,012 809-1199,,
As greek as it gets,Cullinan,,,
Monte de Dios,Guest Houses,071 100 3305,,
Mongena Game Lodge,Game Lodge,012 711-8920,,
Mmakosha Lodge,Game Lodge,087 135 0101,,
Masela's Guest House,Guest Houses,012 346 0821,,
Magalies Mountain Lodge,Accommodation,086 556 3730,,
Lombardy Boutique Hotel & Conference Venue,Tourism & Events,087 725 5588,,
Loodswaai Game Ranch,Tourism & Events,082 083 9424,,
Lizvilla Guesthouse,Tourism & Events,012 541 3121,,
Brooklyn Conference Centre,Tourism & Events,012 346 6589,,"Conference Centre &amp; Meeting Rooms
Brooklyn Conference Centre is an unique venue situated in the heart of Brooklyn, Pretoria.
It is the ideal function venue and is the perfect setting for conferences, small meetings, training, corporate functions and..."
Lil's Place Guest House,Guest Houses,073 675 9096,,
levingston student accommodation,Accommodation,012 793 0278,,
Leriba Hotel and Spa (Member),Hotels,Leriba Hotel and Spa,,
Leopardsong Game Lodge,Tourism & Events,078 804 3393,,
Kwalata Game Lodge in Dinokeng Game Reserve,Tourism & Events,012 711 8200,,
Kloof B+B,Tourism & Events,(082) 923 3730,,
Kelkiewyn B&B,Tourism & Events,012 347-7644,,
Kaia Manzi Resort,Tourism & Events,013 932 3140,,
Jopasso Guest House,Accommodation,012 807 0902,,
Isiphiwo Guest Lodge,Lodges,079 876 3236,,
Hotel224,Tourism & Events,012 440 5281,,"The Hotel 224 was established in 1987 and through the years it has become the leader in budget accommodation in Pretoria, offering the visitor exceptional service and quality at a fractional rate.
Centrally situated in Arcadia, Pretoria's premier budget..."
Holiday Inn Express Pretoria - Sunnypark,Hotels,012 444 1000,,
Hengelaars Vriend-Oord,Tourism & Events,012 819 1130,,
Guesthouse Association Of Tshwane,Guest Houses,(073) 387-0762,,
G A TS Tour Operator,Tourism & Events,(012) 346-3410,,
French Manor Guest House,Guest Houses,082 735 2275,,
Forever Resorts Centurion Hotel,Hotels,012 644 6000,,
Figa Lapa Guest House and Tours,Guest Houses,012 335 4230,,
Farmers Folly Guest House,Guest Houses,012 348 3449,,
Edelweiss Corporate Guesthouse,Guest Houses,012 567 4709,,
Delarey House,Guest Houses,012 035 0555,,
De Zoete Inval Guest House,Accommodation,012 998-8081,,
Oppistasie Restaurant,Tourism & Events,,,
Cullinan Diamond Inn & Spa,Lodges,012 734 1810,,
Bushmans Rock,Tourism & Events,083 778 5360 / 079 877 9085,,"Bushman's Rock is situated just 10km outside Pretoria in the Gauteng province of South Africa. A Bush Lodge with easy access to the main centres in Gauteng, makes this luxurious lodge a chosen destination for function venues near Pretoria, weekend getaway..."
Cricklewood Manor Boutique Hotel,Hotels,012 460 8225,,
+27 Café,Tourism & Events,012 362 4975,,
Court Classique Suit Hotel,Accommodation,012 344 4420,,
Constantia Manor Guest House,Guest Houses,012 993 0790,,
Colosseum Suites Luxury Hotel,Accommodation,012 320 5120,,
City Lodge Hotel Lynnwood,Hotels,012 471 0300,,
Chukuru Lodge,Lodges,082 567 0723,,
Centurion Business Hotel,Hotels,082 369 2011,,
Castello Di Monte,Hotels,012 346 6984,,
Casta Diva,Accommodation,012 542 4449,,
Casa Toscana Lodge,Accommodation,012 348 8820,,
Bronx Guest house,Guest Houses,083 602 1433,,
Alpine Attitude Boutique Hotel & luxury apartments,Hotels,012 348 6504,,
African Pride Irene Country Lodge,Lodges,012 667 6464,,
African Cave Lodge,Game Lodge,081 566 4848,,"African Cave Lodge is situated in a rural village of Hammanskraal. As a major and unique Tourist attraction centre, African cave Lodge comes with a difference, the Caves, the mountainous infrastructure, the waterfalls, and the tranquility of natural sound..."
Accommodation @ the Paddock,Guest Houses,012 549 5820,,
A Bed Above,Guest Houses,(086)509-9233,,
Vallee de Misty Guest House,Guest Houses,012 347 0671,,
